Yr,Rnd,Pick,Draft Position,DP Normalizado,Tm,Tm #,Tm # Normalizado,Player,Pos,Pos #,Pos # Normalizado,Age,Age Normalizado,CarAV,AvgAV,AvgAV Categorizado,College/Univ,College #,College # Normalizado,Conference,Conference #,Conference # Norm,NFL.com Grade,SPORQ,SPORQ Normalizado
2012,2,33,4,"0,3333333333",STL,7,"0,2121212121",Brian Quick\QuicBr00,WR,2,"0,1428571429",23,"0,5000000000",11,"1,5714285714",1,Appalachian St.,17,"0,1082802548",SB,8,"0,6153846154","0,7513513514","186,3987833000","0,5710834437"
2012,2,36,4,"0,3333333333",DEN,21,"0,6363636364",Derek Wolfe\WolfDe00,DT,4,"0,2857142857",22,"0,3333333333",36,"5,1428571429",3,Cincinnati,18,"0,1146496815",AA,3,"0,2307692308","0,1081081081","196,4027627000","0,6801593644"
2012,2,37,4,"0,3333333333",CLE,22,"0,6666666667",Mitchell Schwartz\SchwMi00,T,10,"0,7142857143",23,"0,5000000000",43,"6,1428571429",3,California,19,"0,1210191083",PAC12,0,"0,0000000000","0,7387387387","159,2945060000","0,2755586449"
2012,2,38,4,"0,3333333333",JAX,23,"0,6969696970",Andre Branch\BranAn00,LB,5,"0,3571428571",23,"0,5000000000",19,"2,7142857143",1,Clemson,20,"0,1273885350",ACC,2,"0,1538461538","0,8108108108","196,4365400000","0,6805276468"
2012,2,39,4,"0,3333333333",STL,7,"0,2121212121",Janoris Jenkins\JenkJa03,DB,6,"0,4285714286",23,"0,5000000000",39,"5,5714285714",3,North Alabama,21,"0,1337579618",FCS,9,"0,6923076923","0,8018018018","185,1380392000","0,5573372316"
2012,2,40,4,"0,3333333333",CAR,3,"0,0909090909",Amini Silatolu\SilaAm00,G,9,"0,6428571429",23,"0,5000000000",15,"2,1428571429",1,Midwestern St.,22,"0,1401273885",Div2,10,"0,7692307692","0,7603603604","179,6330608000","0,4973150581"
2012,2,41,4,"0,3333333333",BUF,4,"0,1212121212",Cordy Glenn\GlenCo00,G,9,"0,6428571429",22,"0,3333333333",34,"4,8571428571",2,Georgia,23,"0,1464968153",SEC,1,"0,0769230769","0,8378378378","170,3938625000","0,3965777394"
2012,2,43,4,"0,3333333333",NYJ,9,"0,2727272727",Stephen Hill\HillSt00,WR,2,"0,1428571429",21,"0,1666666667",4,"0,5714285714",0,Georgia Tech,24,"0,1528662420",ACC,2,"0,1538461538","0,8018018018","201,1803803000","0,7322509389"
2012,2,44,4,"0,3333333333",KAN,5,"0,1515151515",Jeff Allen\AlleJe01,T,10,"0,7142857143",22,"0,3333333333",23,"3,2857142857",2,Illinois,13,"0,0828025478",Big10,6,"0,4615384615","0,7387387387","169,8975191000","0,3911659817"
2012,2,46,4,"0,3333333333",PHI,6,"0,1818181818",Mychal Kendricks\KendMy00,LB,5,"0,3571428571",21,"0,1666666667",32,"4,5714285714",2,California,19,"0,1210191083",PAC12,0,"0,0000000000","0,6882882883","211,5608044000","0,8454313314"
2012,2,49,5,"0,4444444444",SDG,10,"0,3030303030",Kendall Reyes\ReyeKe00,DT,4,"0,2857142857",22,"0,3333333333",22,"3,1428571429",2,Connecticut,25,"0,1592356688",AA,3,"0,2307692308","0,7657657658","203,2905965000","0,7552591605"
2012,2,50,5,"0,4444444444",STL,7,"0,2121212121",Isaiah Pead\PeadIs00,RB,3,"0,2142857143",22,"0,3333333333",1,"0,1428571429",0,Cincinnati,18,"0,1146496815",AA,3,"0,2307692308","0,6342342342","178,6806639000","0,4869308335"
2012,2,51,5,"0,4444444444",GNB,18,"0,5454545455",Jerel Worthy\WortJe00,DT,4,"0,2857142857",22,"0,3333333333",4,"0,5714285714",0,Michigan St.,26,"0,1656050955",Big10,6,"0,4615384615","0,7747747748","186,4228321000","0,5713456539"
2012,2,56,5,"0,4444444444",PIT,15,"0,4545454545",Mike Adams\AdamMi02,T,10,"0,7142857143",22,"0,3333333333",11,"1,5714285714",1,Ohio St.,27,"0,1719745223",Big10,6,"0,4615384615","0,8018018018","170,3102805000","0,3956664237"
2012,2,58,5,"0,4444444444",TAM,19,"0,5757575758",Lavonte David\DaviLa00,LB,5,"0,3571428571",22,"0,3333333333",52,"7,4285714286",3,Nebraska,28,"0,1783439490",Big10,6,"0,4615384615","0,8108108108","194,2490374000","0,6566767521"
2012,2,59,5,"0,4444444444",PHI,6,"0,1818181818",Vinny Curry\CurrVi00,DE,1,"0,0714285714",24,"0,6666666667",15,"2,1428571429",1,Marshall,29,"0,1847133758",CUSA,11,"0,8461538462","0,7747747748","187,0832238000","0,5785460718"
2012,2,60,5,"0,4444444444",BAL,24,"0,7272727273",Kelechi Osemele\OsemKe00,T,10,"0,7142857143",23,"0,5000000000",40,"5,7142857143",3,Iowa St.,30,"0,1910828025",Big12,4,"0,3076923077","0,7477477477","181,0529534000","0,5127965067"
2012,2,61,5,"0,4444444444",SFO,25,"0,7575757576",LaMichael James\JameLa00,RB,3,"0,2142857143",22,"0,3333333333",2,"0,2857142857",0,Oregon,31,"0,1974522293",PAC12,0,"0,0000000000","0,5765765766","189,8388509000","0,6085913719"
2012,2,62,5,"0,4444444444",GNB,18,"0,5454545455",Casey Hayward\HaywCa00,DB,6,"0,4285714286",22,"0,3333333333",33,"4,7142857143",2,Vanderbilt,32,"0,2038216561",SEC,1,"0,0769230769","0,5801801802","187,4844421000","0,5829206566"
2012,2,63,5,"0,4444444444",NYG,20,"0,6060606061",Rueben Randle\RandRu00,WR,2,"0,1428571429",21,"0,1666666667",21,"3,0000000000",2,LSU,2,"0,0127388535",SEC,1,"0,0769230769","0,8018018018","177,8645641000","0,4780326907"
