Tm # Normalizado,Pos # Normalizado,Age Normalizado,AAV 5Cat,C# Norm,Grade,SPORQ Normalizado
0.7272727273,0.7142857143,0.3333333333,2,0.2857142857,0.4779005525,0.0000004295885755
1,0.2857142857,0.5,0,0.1428571429,0.3895027624,0.4989256884
0.09090909091,0.4285714286,0.5,0,0.07142857143,0.4254143646,0.3536497964
0.7272727273,0.7857142857,0.3333333333,1,0.2857142857,0.4779005525,0.5398799057
0.5454545455,0.3571428571,0.5,1,0.07142857143,0.4005524862,0.834045923
0.9696969697,0.7142857143,0.5,0,0.2857142857,0.4806629834,0.4987817108
0.4545454545,0.7142857143,0.1666666667,0,0.8571428571,0.4392265193,0.3631155343
0.1212121212,0.2857142857,0.3333333333,0,0,0.5027624309,0.6316894238
0.8484848485,0.8571428571,0.3333333333,1,0.4285714286,0.4281767956,0.3726502418
0.09090909091,0.7857142857,0.3333333333,1,0.4285714286,0.5,0.7637803352
0.4848484848,0.1428571429,0.1666666667,0,0.2857142857,0.4447513812,0.4299681575
0,0.2142857143,0.1666666667,2,0.1428571429,0.4171270718,0.5416270359
0.6363636364,0.3571428571,0.5,1,0.4285714286,0.3977900552,0.5696363168
0.9696969697,0.8571428571,0.3333333333,0,0.4285714286,0.3453038674,0.3542374649
0.7272727273,0.4285714286,0.5,0,0.07142857143,0.4640883978,0.403652704
0.8181818182,0.7857142857,0.3333333333,0,0.5,0.4392265193,0.5233568366
0.1515151515,0.5714285714,0.3333333333,0,0.07142857143,0.4585635359,0.4626099057
0.1818181818,0.4285714286,0.3333333333,1,0.1428571429,0.3784530387,0.6323263554
0.696969697,0.7142857143,0.3333333333,0,0.1428571429,0.4751381215,0.4878813466
0.8181818182,0.2142857143,0.3333333333,0,0,0.4005524862,0.6244075344
0.09090909091,0.3571428571,0.6666666667,0,0.07142857143,0.4254143646,0.5822847805
0.9696969697,0.3571428571,0.5,0,0.1428571429,0.4364640884,0.6760967047
0.3636363636,0.4285714286,0.5,0,0,0.3729281768,0.6610084189
0.4242424242,0.7142857143,0.5,0,0,0.4668508287,0.4564805588
1,0.8571428571,0.5,0,0,0.4171270718,0.6546045987
0.5151515152,0.07142857143,0.3333333333,0,0.1428571429,0.4337016575,0.5017102586
0.7272727273,0.1428571429,0.1666666667,0,0,0.3701657459,0.4391711387
0.7878787879,0.2857142857,0.1666666667,0,0.1428571429,0.5110497238,0.3429926775
0.4545454545,0.7857142857,0.3333333333,1,0.1428571429,0.408839779,0.6344141591
0.1212121212,0.6428571429,0.5,0,0.1428571429,0.4226519337,0.5928638517
0.2424242424,0.7142857143,0.3333333333,0,0.4285714286,0.455801105,0.2019157479
0.9696969697,0.2142857143,0.1666666667,0,0.07142857143,0.4254143646,0.4951576438
0.3939393939,0.3571428571,0.3333333333,0,0,0.3784530387,0.5921172343
0.3333333333,0.07142857143,0.5,0,0,0.408839779,0.7323995342
0.6363636364,0.6428571429,0.3333333333,0,0,0.273480663,0.3576167035
0,0.1428571429,0.3333333333,0,0.1428571429,0.5110497238,0.4596870864
1,0.1428571429,0.6666666667,0,0.2857142857,0.3066298343,0.8248082258
0.9696969697,0.07142857143,0.5,0,0.1428571429,0.3397790055,0.6124591682
0.06060606061,0.1428571429,0.3333333333,0,0.3571428571,0.4005524862,0.5342700143
0.6363636364,0.3571428571,0.5,0,0,0.2596685083,0.4723521198
0.0303030303,0.07142857143,0.6666666667,0,0.2142857143,0.3591160221,0.7797874848
0.9090909091,0.1428571429,0.5,0,0.2857142857,0.4171270718,0.5412389463
0.06060606061,0.2142857143,0.1666666667,0,0.07142857143,0.4116022099,0.7473658419
0.7878787879,0.4285714286,0.3333333333,0,0.1428571429,0.3425414365,0.3190485246
0.9393939394,0.8571428571,0.3333333333,0,0.07142857143,0.3563535912,0.3400473452
0.5151515152,0,0.5,0,0.8571428571,0.2569060773,0.3720624185
0.3939393939,0.7857142857,0.3333333333,0,0.1428571429,0.3701657459,0.503082117
1,0.2142857143,0.5,1,0.4285714286,0.364640884,0.6349020278
0.7878787879,0.1428571429,0.3333333333,0,0.2142857143,0.3425414365,0.5051996594
