Pos # Normalizado,Age Normalizado,AltAAV Cat,College # Norm,C# Norm,Grade,SPORQ Normalizado
0,0.5,2,0.2389937107,0.2857142857,0.5607734807,0.3744967509
0,0.1666666667,1,0.006289308176,0,0.8259668508,0.2777725312
0.07142857143,0.3333333333,1,0.2201257862,0.1428571429,0.9143646409,0.7518619083
0.6428571429,0.3333333333,2,0.09433962264,0.5,0.9198895028,0.6400455486
0,0.3333333333,1,0.7735849057,0.3571428571,0.5220994475,0.5755673639
0,0.1666666667,0,0.5094339623,0,0.6022099448,0.4151306882
0.07142857143,0.3333333333,0,0.9874213836,0.7857142857,0.546961326,0.7307027258
0.7142857143,0.3333333333,1,0.5094339623,0,0.4944751381,0.7592109422
0.4285714286,0.1666666667,1,0.6981132075,0.1428571429,0.5580110497,0.6549147387
0.1428571429,0.1666666667,1,0.8867924528,0.4285714286,0.5110497238,0.7924073972
0.7857142857,0.8333333333,0,0.0251572327,0.07142857143,0.5220994475,0.6114159505
0.1428571429,0.5,1,0.5031446541,0.07142857143,0.6602209945,0.3291596157
0.2857142857,0.3333333333,0,0.320754717,0.07142857143,0.6464088398,0.7706023054
0.4285714286,0.1666666667,0,0.213836478,0.2142857143,0.5386740331,0.6199376533
0.8571428571,0.5,0,0.3396226415,0.3571428571,0.4917127072,0.5040871188
0.6428571429,0.5,1,0.9685534591,0.7857142857,0.5828729282,0.5464357218
0.2142857143,0.3333333333,1,0.1446540881,0.07142857143,0.4917127072,0.7902004601
0.6428571429,0.3333333333,1,0.3522012579,0.07142857143,0.4613259669,0.6900475959
0.8571428571,0,1,0.07547169811,0.4285714286,0.5580110497,0.6876252604
0.1428571429,0.3333333333,1,0.2264150943,0.2142857143,0.5138121547,0.6890697465
0.3571428571,0.3333333333,0,0.01886792453,0.1428571429,0.591160221,0.7501360526
0.7857142857,0.3333333333,0,0.3836477987,0.4285714286,0.5276243094,0.9256143132
0.2142857143,0.1666666667,1,0.3522012579,0.07142857143,0.5027624309,0.6411503697
0.4285714286,0.3333333333,0,0.07547169811,0.4285714286,0.5497237569,0.616831549
0.07142857143,0.3333333333,0,0.3144654088,0.07142857143,0.4337016575,0.5540109123
0.1428571429,0.1666666667,0,0.4402515723,0.07142857143,0.5027624309,0.4787178756
0.7142857143,0.1666666667,0,0.465408805,0.2857142857,0.5138121547,0.6109847068
0.4285714286,0.3333333333,0,0.05031446541,0.1428571429,0.4723756906,0.5191391894
0.1428571429,0.3333333333,0,0.6855345912,0.2857142857,0.4834254144,0.5475753701
0.5714285714,0.1666666667,1,0,0,0.5662983425,0.6959252954
0.2857142857,0.5,1,0.2201257862,0.1428571429,0.4447513812,0.5614610238
0.3571428571,0.1666666667,1,0.7106918239,0.5,0.4502762431,0.6953931104
0.2142857143,0.3333333333,0,0.1949685535,0,0.4475138122,0.640589423
0.2857142857,0.3333333333,0,0.3018867925,0.1428571429,0.4779005525,0.3126087149
0.2857142857,0.1666666667,0,0.006289308176,0,0.5165745856,0.6851665516
0.1428571429,0.3333333333,0,0.7169811321,0.3571428571,0.4723756906,0.5413350193
0.7142857143,0.3333333333,1,0.2389937107,0.2857142857,0.4779005525,0.0000004295885755
0.2857142857,0.5,0,0.2201257862,0.1428571429,0.3895027624,0.4989256884
0.4285714286,0.5,0,0.3647798742,0.07142857143,0.4254143646,0.3536497964
0.7857142857,0.3333333333,1,0.2389937107,0.2857142857,0.4779005525,0.5398799057
0.3571428571,0.5,0,0.2012578616,0.07142857143,0.4005524862,0.834045923
0.7142857143,0.5,0,0.3773584906,0.2857142857,0.4806629834,0.4987817108
0.7142857143,0.1666666667,0,0.4842767296,0.8571428571,0.4392265193,0.3631155343
0.2857142857,0.3333333333,0,0,0,0.5027624309,0.6316894238
0.8571428571,0.3333333333,0,0.2578616352,0.4285714286,0.4281767956,0.3726502418
0.7857142857,0.3333333333,0,0.9308176101,0.4285714286,0.5,0.7637803352
0.1428571429,0.1666666667,0,0.7232704403,0.2857142857,0.4447513812,0.4299681575
0.2142857143,0.1666666667,1,0.2201257862,0.1428571429,0.4171270718,0.5416270359
0.3571428571,0.5,1,0.07547169811,0.4285714286,0.3977900552,0.5696363168
0.8571428571,0.3333333333,0,0.1635220126,0.4285714286,0.3453038674,0.3542374649
0.4285714286,0.5,0,0.5031446541,0.07142857143,0.4640883978,0.403652704
0.7857142857,0.3333333333,0,0.09433962264,0.5,0.4392265193,0.5233568366
0.5714285714,0.3333333333,0,0.4402515723,0.07142857143,0.4585635359,0.4626099057
0.4285714286,0.3333333333,0,0.6918238994,0.1428571429,0.3784530387,0.6323263554
0.7142857143,0.3333333333,0,0.2201257862,0.1428571429,0.4751381215,0.4878813466
0.2142857143,0.3333333333,0,0.748427673,0,0.4005524862,0.6244075344
